Time,Vin,RawSignal,Event
Verified data,Verified data,For Reference Only,For Reference Only
0.002,717.353454590,557.934326172,0
0.004,-4105.770996094,-3317.327148438,0
0.006,14302.310546875,11737.100585938,0
0.008,-32649.791015625,-27389.089843750,0
0.010,55529.175781250,47280.402343750,0
0.012,-62461.031250000,-54995.800781250,0
0.014,25653.523437500,25758.697265625,0
0.016,-21271.974609375,-16462.855468750,0
0.018,-2873.331787109,1505.593627930,0
0.020,-7695.322265625,-2579.386230469,0
0.022,-6985.055175781,-1453.740356445,0
0.024,-6993.297363281,-1137.082885742,0
0.026,-6995.691406250,-886.248107910,0
0.028,-7003.722656250,-695.541564941,0
0.030,-7011.196289063,-546.782775879,0
0.032,-7012.636718750,-426.390197754,0
0.034,-7015.466308594,-333.833282471,0
0.036,-7021.289062500,-264.173400879,0
0.038,-7022.119140625,-206.111083984,0
0.040,-7022.322265625,-160.464797974,0
0.042,-7023.837890625,-125.982810974,0
0.044,-7026.349609375,-99.939064026,0
0.046,-7027.247070313,-78.427505493,0
0.048,-7026.382324219,-60.325531006,0
0.050,-7024.409667969,-45.385208130,0
0.052,-7026.607910156,-37.008728027,0
0.054,-7028.803710938,-30.492204666,0
0.056,-7030.250000000,-24.840702057,0
0.058,-7029.063476563,-18.397380829,0
0.060,-7025.424804688,-11.478696823,0
0.062,-7023.768554688,-7.639554501,0
0.064,-7023.347167969,-5.614129066,0
0.066,-7025.106933594,-5.735095501,0
0.068,-7026.146484375,-5.269400120,0
0.070,-7027.082519531,-4.826316357,0
0.072,-7024.578125000,-1.805946469,0
0.074,-7025.125976563,-1.830804825,0
0.076,-7023.291015625,0.003499654,0
0.078,-7021.059570313,1.738303542,0
0.080,-7023.526855469,-0.566923559,0
0.082,-7027.292968750,-3.370229244,0
0.084,-7027.724121094,-2.956756353,0
0.086,-7027.873535156,-2.415692806,0
0.088,-7025.275878906,0.141466275,0
0.090,-7024.930664063,0.378441811,0
0.092,-7024.857910156,0.351162791,0
0.094,-7024.333007813,0.681386471,0
0.096,-7025.871582031,-0.667014122,0
0.098,-7028.778808594,-2.779858589,0
0.100,-7024.870605469,0.877703011,0
0.102,-7023.764160156,1.543194413,0
0.104,-7021.890625000,2.657324076,0
0.106,-7018.459472656,4.735323429,0
0.108,-7024.099121094,-0.703150213,0
0.110,-7026.895996094,-2.722086430,0
0.112,-7023.795898438,0.293909132,0
0.114,-7026.978515625,-2.246769428,0
0.116,-7031.942382813,-5.608225822,0
0.118,-7033.512695313,-5.583126068,0
0.120,-7033.394531250,-4.250549316,0
0.122,-7032.006835938,-2.226632833,0
0.124,-7033.713378906,-3.059078217,0
0.126,-7037.449218750,-5.285077572,0
0.128,-7039.884765625,-6.004545212,0
0.130,-7040.117675781,-4.851525307,0
0.132,-7042.269042969,-5.446425438,0
0.134,-7046.776367188,-7.741721630,0
0.136,-7046.288574219,-5.642128468,0
0.138,-7044.006835938,-2.613459110,0
0.140,-7045.025390625,-2.824807882,0
0.142,-7042.583007813,-0.297525108,0
0.144,-7040.204101563,1.618888974,0
0.146,-7040.181152344,1.277054071,0
0.148,-7044.201171875,-2.133601904,0
0.150,-7040.535156250,1.191974759,0
0.152,-7035.907226563,4.526451111,0
0.154,-7041.268066406,-0.648733079,0
0.156,-7046.112304688,-4.272260666,0
0.158,-7049.992187500,-6.340620518,0
0.160,-7049.191894531,-4.309089184,0
0.162,-7042.978027344,1.481519938,0
0.164,-7044.543945313,-0.065505460,0
0.166,-7046.560058594,-1.619154215,0
0.168,-7042.492187500,1.904513001,0
0.170,-7038.429199219,4.641289234,0
0.172,-7039.163574219,3.038841486,0
0.174,-7042.609375000,-0.316730291,0
0.176,-7042.346679688,-0.041863136,0
0.178,-7036.666503906,4.385041714,0
0.180,-7034.670410156,4.963225842,0
0.182,-7035.709472656,3.052079916,0
0.184,-7039.092773438,-0.257698447,0
0.186,-7047.280761719,-6.568765163,0
0.188,-7052.505371094,-9.172428131,0
0.190,-7048.231445313,-3.810021877,0
0.192,-7053.577148438,-7.120763779,0
0.194,-7051.221191406,-3.706228733,0
0.196,-7048.700195313,-0.921645820,0
0.198,-7052.717773438,-3.841512680,0
0.200,-7046.743164063,1.658859372,0
0.202,-7039.194335938,7.161611557,0
0.204,-7041.650390625,3.659605265,0
0.206,-7045.589843750,-0.217419952,0
0.208,-7050.803710938,-4.224442005,0
0.210,-7059.178710938,-9.799238205,0
0.212,-7055.401855469,-4.684138775,0
0.214,-7046.486328125,3.291012287,0
0.216,-7048.870605469,0.705303669,0
0.218,-7052.306152344,-2.123646736,0
0.220,-7049.532226563,0.505993068,0
0.222,-7047.435546875,2.024325609,0
0.224,-7053.006835938,-2.758842707,0
0.226,-7054.707519531,-3.468392611,0
0.228,-7050.320800781,0.714070082,0
0.230,-7051.096191406,-0.047651131,0
0.232,-7049.038085938,1.563848019,0
0.234,-7050.258789063,0.266660035,0
0.236,-7055.936523438,-4.208456516,0
0.238,-7054.718261719,-2.325660467,0
0.240,-7055.177734375,-2.166306019,0
0.242,-7064.017578125,-8.560340881,0
0.244,-7070.665039063,-11.828067780,0
0.246,-7072.004882813,-10.241649628,0
0.248,-7073.533691406,-9.154602051,0
0.250,-7074.134277344,-7.587215424,0
0.252,-7076.962402344,-8.100694656,0
0.254,-7078.615234375,-7.585951805,0
0.256,-7076.639160156,-4.363301754,0
0.258,-7074.700195313,-1.885451198,0
0.260,-7078.079589844,-4.094947338,0
0.262,-7080.009765625,-4.686173916,0
0.264,-7080.161132813,-3.762301445,0
0.266,-7083.728515625,-5.700998306,0
0.268,-7089.980468750,-9.296279907,0
0.270,-7090.438476563,-7.586756229,0
0.272,-7087.335937500,-3.487734795,0
0.274,-7083.045410156,0.624637425,0
0.276,-7079.329101563,3.376028776,0
0.278,-7086.415527344,-2.885753393,0
0.280,-7090.901855469,-5.733799458,0
0.282,-7094.697265625,-7.411633492,0
0.284,-7107.237304688,-15.517777443,0
0.286,-7121.884765625,-23.461244583,0
0.288,-7121.838867188,-18.211832047,0
0.290,-7115.619628906,-9.327360153,0
0.292,-7106.900390625,-0.473106116,0
0.294,-7084.530761719,17.030223846,0
0.296,-7066.409667969,27.339782715,0
0.298,-7055.236328125,29.954179764,0
0.300,-7045.783691406,30.649524689,0
0.302,-7046.039550781,23.638956070,0
0.304,-7047.193359375,17.488349915,0
0.306,-7051.260253906,10.438714027,0
0.308,-7062.207031250,-0.395231962,0
0.310,-7062.725097656,-0.710265279,0
0.312,-7060.694335938,1.027226448,0
0.314,-7064.507324219,-2.166631937,0
0.316,-7063.677734375,-1.040037155,0
0.318,-7060.855957031,1.385911703,0
0.320,-7060.275878906,1.528969765,0
0.322,-7061.942382813,-0.106870189,0
0.324,-7072.150878906,-8.023207664,0
0.326,-7077.493652344,-10.395480156,0
0.328,-7082.174804688,-11.726155281,0
0.330,-7088.676269531,-14.176739693,0
0.332,-7097.207519531,-17.661674500,0
0.334,-7107.823730469,-21.993543625,0
0.336,-7109.914550781,-18.732204437,0
0.338,-7102.648437500,-8.917864799,0
0.340,-7102.851562500,-7.094040394,0
0.342,-7107.071777344,-8.799807549,0
0.344,-7108.784667969,-8.176516533,0
0.346,-7113.145507813,-9.751193047,0
0.348,-7123.397460938,-15.557815552,0
0.350,-7130.775878906,-17.838899612,0
0.352,-7128.115234375,-11.805253029,0
0.354,-7123.239746094,-5.389869690,0
0.356,-7124.226074219,-4.959227562,0
0.358,-7127.714355469,-6.569877625,0
0.360,-7132.337402344,-8.705660820,0
0.362,-7127.183593750,-2.762382507,0
0.364,-7129.159179688,-3.685249329,0
0.366,-7137.597656250,-9.429384232,0
0.368,-7140.998535156,-9.978789330,0
0.370,-7137.516601563,-5.053092003,0
0.372,-7138.661621094,-4.820732594,0
0.374,-7143.395019531,-7.430760860,0
0.376,-7145.097656250,-7.103751183,0
0.378,-7146.374511719,-6.518167019,0
0.380,-7147.136718750,-5.662685394,0
0.382,-7148.727539063,-5.641308308,0
0.384,-7150.329101563,-5.633383274,0
0.386,-7152.582519531,-6.134199619,0
0.388,-7154.415039063,-6.196135521,0
0.390,-7148.644042969,-0.330492526,0
0.392,-7149.514160156,-0.933771551,0
0.394,-7152.787597656,-3.272265911,0
0.396,-7152.614257813,-2.410554409,0
0.398,-7156.552246094,-4.937626362,0
0.400,-7162.735839844,-8.649641037,0
0.402,-7172.352050781,-14.206693649,0
0.404,-7185.856445313,-21.552776337,0
0.406,-7197.222656250,-25.603200912,0
0.408,-7221.422851563,-38.735481262,0
0.410,-7257.760742188,-58.389717102,0
0.412,-7296.604003906,-75.624649048,0
0.414,-7321.415039063,-78.115539551,0
0.416,-7324.874023438,-63.445888519,0
0.418,-7315.434082031,-42.004222870,0
0.420,-7313.665039063,-31.293552399,0
0.422,-7333.839355469,-40.030147552,0
0.424,-7343.828613281,-38.903381348,0
0.426,-7347.177734375,-32.862800598,0
0.428,-7373.043945313,-45.677536011,0
0.430,-7341.555664063,-11.035722733,0
0.432,-7226.532714844,80.877754211,0
0.434,-7061.586914063,191.193756104,0
0.436,-6814.283691406,341.048736572,0
0.438,-6519.886718750,494.228881836,0
0.440,-6235.489746094,605.590087891,0
0.442,-5885.249023438,743.414489746,0
0.444,-5475.113769531,897.193725586,0
0.446,-5200.250000000,911.588439941,0
0.448,-5107.618164063,781.050109863,0
0.450,-5067.151367188,638.948974609,0
0.452,-5111.624023438,462.364654541,0
0.454,-5359.460449219,166.853286743,0
0.456,-5644.272949219,-91.745018005,0
0.458,-5820.306152344,-208.269332886,0
0.460,-5963.973144531,-273.724792480,0
0.462,-6101.579589844,-319.920013428,0
0.464,-6245.493164063,-360.754669189,0
0.466,-6407.041992188,-406.230834961,0
0.468,-6544.382324219,-422.772094727,0
0.470,-6666.649414063,-423.913726807,0
0.472,-6784.977050781,-421.737884521,0
0.474,-6877.598144531,-400.051727295,0
0.476,-6938.870117188,-358.802856445,0
0.478,-6985.654296875,-315.452362061,0
0.480,-7031.908203125,-281.323547363,0
0.482,-7074.763183594,-252.135421753,0
0.484,-7105.150878906,-219.737274170,0
0.486,-7121.444824219,-183.577545166,0
0.488,-7132.020507813,-151.006103516,0
0.490,-7141.290039063,-124.657470703,0
0.492,-7148.839843750,-102.826271057,0
0.494,-7153.536621094,-83.628028870,0
0.496,-7166.413085938,-75.058082581,0
0.498,-7183.541015625,-71.699340820,0
0.500,-7196.604980469,-65.926269531,0
0.502,-7205.313964844,-58.048843384,0
0.504,-7206.876953125,-46.363994598,0
0.506,-7208.327148438,-37.188575745,0
0.508,-7212.812988281,-32.412815094,0
0.510,-7212.744628906,-25.156496048,0
0.512,-7214.531738281,-20.955923080,0
0.514,-7217.480957031,-18.592548370,0
0.516,-7218.815917969,-15.499131203,0
0.518,-7219.936523438,-12.926065445,0
0.520,-7220.696289063,-10.644632339,0
0.522,-7221.299316406,-8.747874260,0
0.524,-7219.382324219,-5.312927723,0
0.526,-7221.217773438,-5.559585094,0
0.528,-7225.444824219,-7.611966133,0
0.530,-7224.571289063,-5.240926266,0
0.532,-7225.455566406,-4.764005661,0
0.534,-7229.139648438,-6.570508957,0
0.536,-7229.954101563,-5.743719101,0
0.538,-7225.659667969,-1.127217770,0
0.540,-7224.916992188,-0.299349934,0
0.542,-7223.246582031,1.066551805,0
0.544,-7220.491699219,2.972309828,0
0.546,-7222.677734375,0.611242890,0
0.548,-7225.084960938,-1.396574378,0
0.550,-7221.803710938,1.465827823,0
0.552,-7222.384765625,0.688201249,0
0.554,-7223.550781250,-0.371935874,0
0.556,-7220.392578125,2.167037964,0
0.558,-7221.242675781,1.024505138,0
0.560,-7223.507324219,-0.964660883,0
0.562,-7219.815917969,2.121010780,0
0.564,-7223.245605469,-1.017966390,0
0.566,-7222.140136719,0.068090007,0
0.568,-7214.758789063,5.793946266,0
0.570,-7217.034667969,2.735985518,0
0.572,-7214.907714844,3.782302141,0
0.574,-7213.632812500,3.933386326,0
0.576,-7213.733886719,2.980816126,0
0.578,-7215.244628906,1.143125296,0
