Time,Vin,RawSignal,Event
Verified data,Verified data,For Reference Only,For Reference Only
0.002,-42.413986206,-32.988227844,0
0.004,242.314575195,195.795501709,0
0.006,-843.590515137,-692.298461914,0
0.008,1924.053344727,1614.136596680,0
0.010,-3271.031494141,-2785.145751953,0
0.012,3675.073730469,3236.259765625,0
0.014,-1503.392944336,-1510.585815430,0
0.016,1263.283325195,976.946655273,0
0.018,186.543045044,-77.616302490,0
0.020,465.949798584,156.946090698,0
0.022,432.228607178,95.840339661,0
0.024,444.305389404,83.934440613,0
0.026,442.872833252,64.167304993,0
0.028,438.638854980,46.614204407,0
0.030,439.813354492,37.168506622,0
0.032,444.301574707,32.399250031,0
0.034,453.767303467,32.561233521,0
0.036,468.307067871,36.633636475,0
0.038,469.477539063,29.402826309,0
0.040,458.651855469,14.448697090,0
0.042,454.741302490,8.196213722,0
0.044,446.940917969,0.307867050,0
0.046,436.889312744,-7.578372478,0
0.048,447.767456055,2.566456556,0
0.050,455.688079834,8.156530380,0
0.052,453.538391113,4.671930313,0
0.054,449.660095215,0.617264032,0
0.056,444.554504395,-3.490884542,0
0.058,434.076812744,-10.864306450,0
0.060,422.831756592,-17.195940018,0
0.062,416.428710938,-18.354537964,0
0.064,406.269317627,-22.177225113,0
0.066,391.532440186,-28.710584641,0
0.068,391.172851563,-22.609834671,0
0.070,391.536773682,-17.302154541,0
0.072,393.231353760,-12.139070511,0
0.074,396.741363525,-6.711409092,0
0.076,385.591583252,-13.891861916,0
0.078,382.889312744,-12.906367302,0
0.080,381.707611084,-10.957253456,0
0.082,372.317687988,-15.825377464,0
0.084,363.174530029,-19.419710159,0
0.086,362.890380859,-15.325036049,0
0.088,373.897644043,-3.358220339,0
0.090,367.722045898,-7.415081024,0
0.092,371.650299072,-2.711944342,0
0.094,383.260894775,6.921064377,0
0.096,379.143737793,2.180799484,0
0.098,401.851806641,19.357748032,0
0.100,438.652130127,43.677944183,0
0.102,440.887451172,35.709850311,0
0.104,436.534301758,24.388231277,0
0.106,449.473358154,29.031957626,0
0.108,448.526245117,21.843477249,0
0.110,436.607116699,7.718842983,0
0.112,426.451324463,-1.895372272,0
0.114,422.164733887,-4.808134556,0
0.116,426.961914063,-0.008525449,0
0.118,428.576324463,1.248999000,0
0.120,436.513977051,7.145080090,0
0.122,447.069396973,13.766876221,0
0.124,438.269683838,3.863314867,0
0.126,429.053283691,-4.163467407,0
0.128,428.176666260,-3.920018435,0
0.130,432.471801758,0.291760057,0
0.132,423.680603027,-6.610581398,0
0.134,394.241088867,-28.038612366,0
0.136,369.275054932,-41.225284576,0
0.138,357.569061279,-41.168239594,0
0.140,346.328826904,-40.761619568,0
0.142,328.919128418,-45.243789673,0
0.144,320.937835693,-41.396747589,0
0.146,318.066131592,-34.430553436,0
0.148,319.956024170,-25.309087753,0
0.150,328.213897705,-13.261867523,0
0.152,338.169189453,-2.571755886,0
0.154,352.857086182,9.423550606,0
0.156,366.851013184,18.213340759,0
0.158,362.498626709,10.780602455,0
0.160,344.373870850,-5.712030411,0
0.162,343.518859863,-5.107631207,0
0.164,350.320648193,1.317655444,0
0.166,342.464324951,-5.085567474,0
0.168,334.141693115,-10.428458214,0
0.170,341.359741211,-2.496969938,0
0.172,337.680480957,-4.803670883,0
0.174,316.703002930,-20.051734924,0
0.176,309.503936768,-21.194791794,0
0.178,315.461608887,-11.850933075,0
0.180,304.069305420,-18.077838898,0
0.182,299.537567139,-17.585004807,0
0.184,307.511718750,-7.475001812,0
0.186,304.245697021,-8.354021072,0
0.188,299.038269043,-10.547660828,0
0.190,303.538055420,-4.703836918,0
0.192,303.722534180,-3.515013218,0
0.194,295.406738281,-9.201631546,0
0.196,287.062255859,-13.646788597,0
0.198,282.244781494,-14.360918045,0
0.200,279.490997314,-13.311260223,0
0.202,272.650695801,-15.673233986,0
0.204,252.565444946,-27.811792374,0
0.206,220.286270142,-46.736808777,0
0.208,175.520507813,-71.167747498,0
0.210,137.907928467,-84.605819702,0
0.212,123.644943237,-76.896957397,0
0.214,127.751113892,-56.614322662,0
0.216,130.175582886,-42.147121429,0
0.218,100.572547913,-55.804954529,0
0.220,82.144134521,-57.736309052,0
0.222,81.007705688,-45.789314270,0
0.224,34.945346832,-71.439262390,0
0.226,49.813476563,-43.999198914,0
0.228,142.994018555,38.251667023,0
0.230,265.580291748,125.094535828,0
0.232,508.822540283,286.480468750,0
0.234,812.723205566,459.179382324,0
0.236,1096.666870117,577.977050781,0
0.238,1466.648315430,737.291503906,0
0.240,1905.076416016,914.436706543,0
0.242,2222.366943359,957.997680664,0
0.244,2342.618408203,838.627197266,0
0.246,2394.120361328,692.313781738,0
0.248,2360.832031250,512.568603516,0
0.250,2136.982666016,224.556640625,0
0.252,1957.034423828,34.694858551,0
0.254,1861.697387695,-47.165538788,0
0.256,1691.379272461,-169.151718140,0
0.258,1510.011352539,-272.622833252,0
0.260,1317.265869141,-361.948425293,0
0.262,1118.750244141,-435.910827637,0
0.264,950.544494629,-469.862365723,0
0.266,795.585388184,-485.965972900,0
0.268,661.998168945,-481.868438721,0
0.270,558.771423340,-455.068084717,0
0.272,480.173156738,-415.068450928,0
0.274,404.736145020,-381.499298096,0
0.276,344.520538330,-343.551574707,0
0.278,298.616149902,-302.906280518,0
0.280,270.600738525,-257.380187988,0
0.282,248.471054077,-217.393737793,0
0.284,236.670013428,-178.260284424,0
0.286,241.663925171,-134.760986328,0
0.288,223.794509888,-118.710998535,0
0.290,207.403305054,-105.078132629,0
0.292,208.116653442,-81.171546936,0
0.294,204.879074097,-65.650695801,0
0.296,197.897048950,-56.491386414,0
0.298,198.719573975,-43.297443390,0
0.300,205.247619629,-28.598047256,0
0.302,193.541610718,-31.347183228,0
0.304,177.203948975,-37.087734222,0
0.306,166.744262695,-36.980846405,0
0.308,153.630279541,-38.962139130,0
0.310,152.839965820,-30.918170929,0
0.312,158.314331055,-19.789375305,0
0.314,143.396072388,-26.994478226,0
0.316,124.314201355,-35.836692810,0
0.318,119.556068420,-31.573343277,0
0.320,131.341217041,-15.390610695,0
0.322,144.703842163,-1.577305675,0
0.324,142.797729492,-2.709296703,0
0.326,138.335525513,-5.577754498,0
0.328,141.447021484,-1.918175817,0
0.330,140.279739380,-2.399770737,0
0.332,145.208862305,1.967243314,0
0.334,151.396804810,6.342845440,0
0.336,142.044479370,-2.340681791,0
0.338,138.681594849,-4.436040401,0
0.340,130.420349121,-9.875544548,0
0.342,117.963478088,-17.369430542,0
0.344,122.312683105,-10.126711845,0
0.346,127.377494812,-3.936980963,0
0.348,128.535934448,-2.161054850,0
0.350,130.414123535,-0.220006943,0
0.352,125.171379089,-4.248754978,0
0.354,126.175140381,-2.523850203,0
0.356,117.371925354,-8.809823036,0
0.358,97.556312561,-22.263938904,0
0.360,95.284347534,-19.083232880,0
0.362,111.953857422,-1.877317905,0
0.364,125.243865967,8.876423836,0
0.366,120.745674133,3.405249357,0
0.368,107.424644470,-7.712174892,0
0.370,101.630966187,-10.504414558,0
0.372,110.857017517,-0.994275093,0
0.374,116.437171936,3.566748381,0
0.376,110.470932007,-1.866244078,0
0.378,106.611503601,-4.453240395,0
0.380,123.228019714,9.460201263,0
0.382,134.636566162,16.231031418,0
0.384,121.230850220,2.197441578,0
0.386,125.217903137,4.810102463,0
0.388,136.170150757,12.259445190,0
0.390,133.781799316,7.677420139,0
0.392,134.268722534,6.349960804,0
0.394,137.876632690,7.744915485,0
0.396,132.781402588,2.060836554,0
0.398,127.221511841,-2.721454859,0
0.400,126.242752075,-2.877907276,0
0.402,123.755149841,-4.173116684,0
0.404,126.841239929,-0.845456362,0
0.406,124.523963928,-2.459867954,0
0.408,119.008987427,-6.202581882,0
0.410,127.269241333,1.600391984,0
0.412,128.468627930,2.177575111,0
0.414,123.771957397,-1.959265113,0
0.416,128.748657227,2.346861124,0
0.418,125.943611145,-0.356361419,0
0.420,127.811988831,1.175998449,0
0.422,130.214660645,2.783372641,0
0.424,114.388053894,-10.144608498,0
0.426,109.693321228,-11.541557312,0
0.428,113.597595215,-5.940032005,0
0.430,124.065841675,3.521899939,0
0.432,143.626022339,17.952495575,0
0.434,151.899505615,20.397722244,0
0.436,154.646316528,18.001068115,0
0.438,161.266754150,19.149810791,0
0.440,162.610626221,15.939325333,0
0.442,147.147750854,0.370563745,0
0.444,133.635147095,-10.221453667,0
0.446,124.344528198,-15.175858498,0
0.448,118.857002258,-16.071311951,0
0.450,118.314781189,-12.921468735,0
0.452,119.901695251,-8.815653801,0
0.454,113.937278748,-11.495459557,0
0.456,114.045425415,-8.856680870,0
0.458,127.785026550,3.797772884,0
0.460,133.219024658,7.180174351,0
0.462,139.697372437,10.623156548,0
0.464,148.243240356,14.909050941,0
0.466,146.721801758,10.412450790,0
0.468,136.347366333,0.029565958,0
0.470,129.999465942,-4.914190769,0
0.472,122.917205811,-9.330455780,0
0.474,115.447738647,-13.066439629,0
0.476,126.918388367,-1.241154075,0
0.478,151.254745483,17.962701797,0
0.480,150.164367676,13.122749329,0
0.482,132.450271606,-3.570998907,0
0.484,118.496475220,-13.630217552,0
0.486,121.360992432,-8.373218536,0
0.488,120.780937195,-6.963562965,0
0.490,103.732673645,-18.675624847,0
0.492,99.073425293,-18.149105072,0
0.494,107.346382141,-7.681354046,0
0.496,108.152412415,-5.347402573,0
0.498,108.585006714,-3.822577477,0
0.500,112.418701172,0.008646005,0
0.502,98.135543823,-11.102257729,0
0.504,83.400970459,-20.095050812,0
0.506,88.971023560,-11.297073364,0
0.508,91.585372925,-6.753142834,0
